Gene,GAs1,GAs2,GAs3,GC1,GC2,GC3,UAs1,UAs2,UAs3,UC1,UC2,UC3
Solyc03g019640.1,9,11,0,13,24,41,23,0,4,5,17,10
Solyc10g081205.1,0,2,0,14,0,0,0,0,0,4,1,3
Solyc03g006380.4,319,257,192,263,149,396,167,104,140,171,209,202
Solyc01g150122.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g079670.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g080710.2,9071,11435,6075,6708,7684,8121,8765,5744,6788,7004,6596,6937
Solyc04g053040.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g076300.3,818,2203,1715,744,607,532,646,486,575,491,725,746
Solyc04g049795.1,21,45,55,65,114,55,15,1,1,12,28,7
Solyc03g077905.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g076290.1,54,29,66,14,55,66,9,4,38,33,15,31
Solyc01g097890.2,525,613,461,640,701,872,617,388,534,992,756,900
Solyc02g069670.4,134,152,147,226,246,447,376,220,423,388,319,472
Solyc04g057860.3,2,38,30,0,8,90,122,25,30,7,1,44
Solyc01g009640.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g021230.4,97,126,77,54,94,147,29,22,46,36,48,47
Solyc05g007830.3,7379,5298,685,2538,3842,6227,6204,3334,4327,1055,312,862
Solyc10g005950.3,332,711,586,399,321,286,787,447,864,587,333,531
Solyc11g065980.3,1355,987,636,1012,832,1006,1010,558,533,306,488,325
Solyc01g107660.3,13845,19806,14459,19059,17145,20710,27474,21780,24443,12630,13071,15721
Solyc03g081260.4,819,560,663,294,683,1377,1461,759,1664,1002,490,809
Solyc05g016260.3,1705,1827,1027,1714,1791,2012,661,478,860,685,746,975
Solyc03g117660.4,436,454,229,305,394,224,134,98,192,245,369,327
Solyc09g015065.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g009760.3,507,578,357,167,237,387,177,112,149,114,148,101
Solyc01g097770.4,10506,14506,8357,14019,16099,14843,23487,16572,23874,18916,15658,23531
Solyc11g030800.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g007710.3,0,0,0,0,8,8,31,24,18,91,0,35
Solyc12g011130.2,646,1069,565,744,734,791,450,387,535,662,651,598
Solyc10g049570.3,166,180,59,77,95,154,33,24,20,30,34,39
Solyc11g008090.2,962,944,695,761,895,1010,1103,603,981,422,576,585
Solyc01g097900.1,0,0,0,0,6,0,0,0,0,0,0,0
Solyc07g017710.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc03g006260.4,40,129,113,19,72,112,245,130,237,150,58,45
Solyc08g077740.1,136,302,201,336,447,257,23,21,16,127,183,252
Solyc04g079790.3,12592,17010,12072,14316,13165,15637,36557,31857,24659,10053,7782,12114
Solyc11g065740.2,4771,8835,4778,7387,6067,6932,11189,10276,14701,8860,10298,12213
Solyc06g076170.4,0,0,0,0,0,0,13,8,6,0,0,0
Solyc02g069790.3,1337,1539,921,1201,1326,1346,1129,763,973,1077,1169,1097
Solyc04g057980.3,5217,9030,6249,7818,7091,8181,10743,7433,9567,4715,6121,8355
Solyc08g077620.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g021350.4,4,1,2,0,0,0,0,0,0,0,1,2
Solyc09g014690.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g078230.2,1936,1504,1068,1714,1960,2400,1390,1027,1327,1528,814,1501
Solyc04g049925.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g105383.1,23,26,40,48,29,13,4,2,5,17,10,8
Solyc07g150127.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g009520.4,9738,11759,5772,6684,7531,6995,11026,7128,6289,4098,4744,5088
Solyc03g117540.4,533,689,720,213,413,1065,1169,463,1046,899,437,518
Solyc08g077980.4,8708,11378,5407,5453,9332,5955,3719,2305,3281,5054,7054,6444
Solyc06g067980.3,35,118,51,48,84,144,276,142,606,397,484,289
Solyc12g011250.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g038015.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g107910.4,248,213,220,45,61,278,2128,1452,3034,2038,1009,1626
Solyc03g019880.3,2381,3789,2887,3363,3223,4294,2989,2110,3407,1758,3440,2804
Solyc10g005830.3,1241,1370,1037,843,1162,1139,1249,772,1035,1029,537,991
Solyc03g117910.3,2,8,11,14,22,56,0,0,0,0,2,1
Solyc07g048070.3,396,2166,1468,609,314,249,70,90,112,626,1451,1092
Solyc12g015830.1,1047,1126,515,1000,1183,1098,995,872,825,521,536,596
Solyc06g054480.3,44,16,38,61,62,76,32,17,50,43,21,25
Solyc02g065090.4,0,30,66,0,4,41,270,51,120,108,43,63
Solyc01g107540.4,9,1,1,5,0,6,0,0,0,0,3,0
Solyc10g080950.2,2,21,18,17,6,48,395,274,223,352,48,145
Solyc05g016380.4,1916,2369,2366,1515,1567,2266,1583,911,1639,1049,1019,1294
Solyc06g076540.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g063040.1,0,0,0,0,0,12,8,25,16,36,2,6
Solyc01g009880.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g018325.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g039520.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g005770.1,614,783,259,447,654,613,394,241,376,308,418,336
Solyc11g030790.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g018070.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g014210.3,169,183,116,79,89,81,66,75,42,62,18,59
Solyc00g500231.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g069310.3,3257,5365,4115,3890,4409,4277,888,562,1407,1694,1784,1639
